date,balance,count
2009-12-06,113.108503,21
2009-12-13,113.108503,21
2009-12-20,110.908523,21
2009-12-27,110.902283,21
2010-01-03,108.61533,21
2010-01-10,108.61533,21
2010-01-17,108.61533,21
2010-01-24,108.61533,21
2010-01-31,106.4231,21
2010-02-07,106.41222,21
2010-02-14,106.41222,21
2010-02-21,106.41222,21
2010-02-28,106.41222,21
2010-03-07,106.41222,21
2010-03-14,106.41222,21
2010-03-21,106.409687,21
2010-03-28,106.40882,21
2010-04-04,106.284114,21
2010-04-11,106.282469,21
2010-04-18,105.995867,21
2010-04-25,105.277621,21
2010-05-02,102.880549,21
2010-05-09,90.068564,21
2010-05-16,88.002997,21
2010-05-23,87.186637,21
2010-05-30,86.250182,21
2010-06-06,85.851001,23
2010-06-13,83.753929,23
2010-06-20,83.753929,23
2010-06-27,483.753929,23
2010-07-04,490.251129,23
2010-07-11,490.251129,23
2010-07-18,490.251129,24
2010-07-25,490.251129,24
2010-08-01,490.251129,24
2010-08-08,490.251129,24
2010-08-15,510.251129,24
2010-08-22,510.251049,24
2010-08-29,510.251049,25
2010-09-05,510.251049,26
2010-09-12,510.251049,26
2010-09-19,760.251049,26
2010-09-26,760.569449,26
2010-10-03,760.435049,26
2010-10-10,760.435049,26
2010-10-17,760.435049,27
2010-10-24,760.435049,27
2010-10-31,752.352119,27
2010-11-07,752.352119,27
2010-11-14,763.652119,26
2010-11-21,763.652119,25
2010-11-28,763.652119,28
2010-12-05,763.651979,28
2010-12-12,763.651143,28
2010-12-19,779.651143,27
2010-12-26,779.651143,28
2011-01-02,779.649552,28
2011-01-09,779.649552,29
2011-01-16,779.649542,29
2011-01-23,775.797645,28
2011-01-30,781.408515,29
2011-02-06,780.309649,29
2011-02-13,779.40607,31
2011-02-20,779.403723,31
2011-02-27,810.091697,32
2011-03-06,809.840819,32
2011-03-13,1040.370501,32
2011-03-20,1038.511234,32
2011-03-27,1033.329861,33
2011-04-03,1033.02502,33
2011-04-10,1052.945171,33
2011-04-17,1052.645916,33
2011-04-24,1052.208287,33
