code,name,industry,stock_code,stock_name,price,stock_price,change,stock_change,remaining,turnover,convert_price,parity,premium,ytm,floor,floor_premium,rating,balance,issue_size,change_5d,stock_change_5d,list_date
113616.SH,韦尔转债,电子,603501.SH,豪威集团,110.791,89.76,-0.13430683252208,0.12269938650307,0.39178082191779,63.723168,159.02,56.445730096843,96.27879701426,-1.8224,109.36280475828,1.3059241164127,AA+,24.32334,24.4,-2.860925526505,1.1950394588501,2021-01-22
113625.SH,江山转债,轻工制造,603208.SH,江山欧派,116.588,10.82,-0.35128505371841,-1.4571948998179,0.84383561643835,22.604781,19.84,54.536290322581,113.78058410351,1.4352,112.156676644,3.9510116460286,AA-,5.82531,5.83,-0.083129793889539,3.4416826003824,2021-07-01
113627.SH,太平转债,纺织服饰,603877.SH,太平鸟,118.121,12.64,-0.82865970379824,-2.4691358024691,0.93698630136987,21.925939,20.61,61.329451722465,92.600776107595,-7.3375,108.43346564661,8.9340816468642,AA,7.99745,8,-1.532190164973,-5.8122205663189,2021-08-06
113631.SH,皖天转债,公用事业,603689.SH,皖天然气,138.367,7.41,-0.50049258249858,-0.67024128686327,1.2547945205479,29.837669,6.51,113.82488479263,21.561291497976,-15.7967,109.64043184267,26.200706869302,AA+,5.95766,9.3,-0.32129555589174,-2.2427440633245,2021-12-10
113633.SH,科沃转债,家用电器,603486.SH,科沃斯,120.978,57.92,-0.42553191489363,-0.82191780821917,1.3150684931506,13.453355,172.97,33.485575533329,261.28392023481,-5.891,109.47311990682,10.509319642092,AA,10.39547,10.4,-1.2118044781238,-4.5327179825284,2021-12-29
113634.SH,珀莱转债,美容护理,603605.SH,珀莱雅,126.715,57.72,-0.73946999428164,-0.31088082901554,1.33698630137,21.171639,94.27,61.228386549273,106.95466129591,-5.9769,114.32718909256,10.8354023271,AA,7.50726,7.51713,-1.9613152804642,-5.8247674987763,2022-01-04
113636.SH,甬金转债,钢铁,603995.SH,甬金股份,135.92,23.79,0.79795912313488,4.1593695271454,1.3506849315067,84.394864,26.22,90.732265446224,49.803379571248,-10.3676,114.34876067051,18.86442774106,AA-,9.99498,10,4.2843113184385,17.365564874198,2021-12-31
113638.SH,台21转债,纺织服饰,603055.SH,台华新材,124.825,8.2,-1.0040367670968,-1.7964071856287,1.3945205479451,29.857689,16.01,51.217988757027,143.71320121951,-6.4847,111.27086412582,12.181208423844,AA,5.99728,6,-1.8987590477912,-4.7619047619048,2022-01-21
113640.SH,苏利转债,基础化工,603585.SH,苏利股份,135.886,10.12,0.08470144581686,0.098911968348168,1.5287671232877,47.561768,10.84,93.357933579336,45.553778656126,-9.4202,113.3875808705,19.84204880003,AA-,7.38953,9.57211,0.78171353981251,1.9133937562941,2022-03-10
113643.SH,风语转债,传媒,603466.SH,风语筑,146.251,11.35,-0.87097386400607,-0.43859649122808,1.6301369863013,43.413023,11.8,96.186440677966,52.049497797357,-12.9116,113.08793455502,29.325025322523,AA-,4.99273,5,2.2341057635175,11.165523996082,2022-04-22
113646.SH,永吉转债,轻工制造,603058.SH,永吉股份,173.676,10.1,0.30494143738304,0.29791459781529,1.6849315068494,135.177427,8.05,125.46583850932,38.424930693069,-23.8784,106.2404454083,63.47446524017,AA-,1.37166,1.45868,7.2318986435173,14.253393665158,2022-05-17
113647.SH,禾丰转债,农林牧渔,603609.SH,禾丰股份,121.043,6.19,-0.78361298043426,-0.3220611916264,1.7068493150684,26.611184,10.09,61.347869177403,97.30595638126,-3.5825,110.64429076972,9.3983242677429,AA,14.66857,15,-0.77629313878186,-1.2759170653907,2022-05-18
113648.SH,巨星转债,农林牧渔,603477.SH,巨星农牧,122.507,15.02,0.12995717134731,0.40106951871657,1.7150684931507,23.146963,24.84,60.466988727858,102.60145672437,-5.0264,108.25511356843,13.165093048988,AA-,8.99726,10,-0.6890569647446,2.9472241261138,2022-05-17
113649.SH,丰山转债,基础化工,603810.SH,丰山集团,135.749,11.65,-0.29086635572369,-0.51238257899232,1.8876712328768,14.237798,13.61,85.598824393828,58.587458369099,-7.6358,112.29347395225,20.887701860332,AA-,4.57734,5,1.2530860974573,6.392694063927,2022-07-21
