date,implied_vol,implied_vol_smooth,implied_vol_percentile,price_median,turnover_total,parity_median,premium_median,floor_premium_median,floor_median,remaining_median,ytm_median
2018-06-25,21.80551702897043,20.22620616139663,48.69565217391305,97.2,15.39969205,78.73,22.93,13.74,83.2,5.435616438356164,2.854399919509888
2018-06-26,22.34361970094467,20.22307183744267,62.93103448275862,97.0,15.87143909,78.94,22.16,14.37,82.9,5.432876712328767,2.730499982833862
2018-06-27,21.48016283627045,20.19337502715299,36.75213675213675,96.22,16.61711013,79.02,21.6,13.2,83.0,5.43013698630137,2.900000095367432
2018-06-28,21.34095479100879,20.20148497851995,33.89830508474576,96.3,12.31862205,79.34,21.52,13.01,83.2,5.427397260273972,2.885900020599365
2018-06-29,22.04925595181426,20.2135664774343,53.78151260504202,97.64,19.76162799,80.89500000000001,19.545,14.595,83.3,5.428767123287671,2.620350003242493
2018-07-02,21.53828281578427,20.21549361296045,43.33333333333333,97.064,11.06376024,78.99000000000001,21.365,13.23,83.45,5.420547945205479,2.703649997711182
2018-07-03,21.32360553584843,20.29172116333736,33.05785123966943,97.875,19.27009963,80.39500000000001,19.88,13.995,83.65,5.417808219178083,2.583400011062623
2018-07-04,21.57500327443707,20.35473259046346,44.26229508196721,97.62,14.3466113,79.095,21.005,13.33,83.7,5.415068493150685,2.580000042915344
2018-07-05,22.93054641415124,20.47963101260183,78.04878048780488,97.3005,14.2533184,77.315,23.015,13.235,83.75,5.412328767123288,2.635400056838989
2018-07-06,22.61606546516149,20.56852590310721,68.54838709677419,97.5,17.01324654,78.35,22.955,13.5,83.75,5.40958904109589,2.630699992179871
2018-07-09,22.80122470822986,20.65319335146818,76.0,98.31,16.73450776,78.79,21.2,15.19,83.8,5.405479452054794,2.48580002784729
2018-07-10,22.75968446510996,20.75963595863851,74.60317460317461,98.64,14.47740956,79.955,21.285,15.12,83.65,5.404109589041095,2.426249980926514
2018-07-11,23.26382374573958,20.88288320849649,82.67716535433071,97.945,12.37938892,77.32499999999999,23.485,14.825,83.65,5.401369863013699,2.526550054550171
2018-07-12,23.11595105432905,20.98844095197413,81.25,99.815,16.46561077,79.65,21.885,16.245,83.7,5.398630136986302,2.308249950408936
2018-07-13,23.9293149777881,21.1338712429004,87.59689922480621,99.845,12.81733944,80.15,20.375,16.6,83.65,5.398630136986302,2.366849899291992
2018-07-16,23.81348108863157,21.29013725548939,86.92307692307692,99.2,10.71725916,80.68,21.05,15.975,83.8,5.390410958904109,2.300250053405762
2018-07-17,23.64102986547262,21.44212531493096,83.20610687022901,99.4045,11.76491815,79.985,20.94,17.18,83.8,5.387671232876713,2.330049991607666
2018-07-18,23.8234650922665,21.62230852633984,87.12121212121212,99.6,11.58251992,80.00999999999999,21.74,17.39,83.9,5.384931506849315,2.254950046539307
2018-07-19,24.16749419668983,21.7980088537295,89.47368421052632,99.75999999999999,10.69727257,78.845,22.525,16.905,84.1,5.382191780821918,2.253250002861023
2018-07-20,24.05549240967906,21.96778110757939,87.31343283582089,100.0505,19.35606661,79.91499999999999,21.57,18.155,84.19999999999999,5.37945205479452,2.087700009346008
2018-07-23,22.77127253307615,22.09534566076526,70.37037037037037,100.12,20.98399151,80.695,21.875,18.315,84.45,5.371232876712329,2.029100060462952
2018-07-24,22.0546875,22.20000310202581,50.0,100.4865,28.79320215,82.34,20.185,18.68,84.3,5.372602739726028,2.040300011634827
2018-07-25,21.27072376882705,22.2853234444025,28.46715328467153,100.4035,18.26983004,82.995,20.015,18.185,84.3,5.36986301369863,2.084949970245361
2018-07-26,21.94350471040031,22.39071242338236,48.55072463768116,99.675,14.32067231,82.33500000000001,20.6,17.01,84.5,5.367123287671233,2.170549988746644
2018-07-27,22.34393068055506,22.50381259589807,59.71223021582733,99.51,12.55349703,81.82,20.355,17.055,84.7,5.364383561643836,2.178749918937683
2018-07-30,22.70290041025135,22.54797486970065,68.57142857142857,99.165,11.4735911,81.16499999999999,21.075,17.075,84.7,5.356164383561643,2.307100057601929
2018-07-31,22.02425846081419,22.54088223410961,48.93617021276596,99.25,24.92345482,81.2,20.595,17.27,84.8,5.363013698630136,2.284049987792969
2018-08-01,22.00770866585101,22.5350542129502,48.59154929577465,99.0,15.80319144,80.31,21.46,16.01,85.0,5.367123287671233,2.413399934768677
2018-08-02,22.33506934727384,22.51858644631376,58.74125874125874,98.301,15.52821358,78.69,23.88,15.23,85.2,5.364383561643836,2.485699892044067
2018-08-03,22.26013791239161,22.53627231359226,56.94444444444444,97.99,13.04414765,78.38,25.23,14.68,85.2,5.361643835616438,2.574100017547607
2018-08-06,22.24609375,22.55095820429325,56.55172413793104,97.793,11.47746439,75.77,27.0,13.84,85.4,5.353424657534246,2.586100101470947
2018-08-07,23.01171875,22.57322817259509,78.08219178082192,98.492,19.30520939,76.91,24.37,14.42,85.6,5.35068493150685,2.365900039672852
2018-08-08,23.46923802793373,22.63953067898387,81.63265306122449,98.11,11.39985831,76.21,26.85,14.11,85.5,5.347945205479452,2.466200113296509
2018-08-09,23.55261474440866,22.71325267743053,81.75675675675676,99.05,17.49515522,77.52,25.02,14.89,85.4,5.345205479452055,2.366300106048584
2018-08-10,23.32141182350468,22.75565787315354,79.86577181208054,98.988,13.14171021,77.66,24.56,15.27,85.1,5.342465753424658,2.369800090789795
2018-08-13,22.62523838118339,22.79188972533351,63.33333333333333,99.0,14.44207214,80.145,23.42,15.465,84.95,5.327397260273973,2.342000007629395
2018-08-14,22.24609375,22.8226393324719,54.96688741721854,98.05,14.32787411,80.29,22.21,15.44,84.5,5.336986301369863,2.435699939727783
2018-08-15,23.01171875,22.87052984832399,76.97368421052632,97.9,11.70637418,78.96,22.79,15.25,84.4,5.334246575342465,2.658999919891357
2018-08-16,23.52956264900959,22.89049705615261,81.69934640522875,97.61,12.99387376,78.17,23.36,15.2,84.2,5.331506849315068,2.719300031661987
2018-08-17,23.90299324343631,22.93339464876177,87.66233766233766,97.24,10.4747509,76.76,25.37,15.34,84.0,5.328767123287671,2.766400098800659
2018-08-20,23.40155177591373,22.9534055510179,80.0,97.353,16.47451069,77.01,23.26,15.08,83.8,5.32054794520548,2.769000053405762
2018-08-21,23.40282075171691,22.97484342723813,80.12820512820514,97.4615,16.73523489,77.55,23.4,16.06,83.7,5.317808219178082,2.596400022506713
2018-08-22,24.345532827205,23.01090039662031,91.0828025477707,97.135,11.02531012,77.72,23.77,15.82,83.8,5.315068493150685,2.650650024414062
2018-08-23,23.88708471677402,23.03660485203514,86.70886075949366,98.0,23.41003425,78.49,23.26,16.17,83.8,5.312328767123287,2.641999959945679
2018-08-24,24.37607993621034,23.05149701731588,91.19496855345912,97.52,18.31611301,78.235,24.2,17.125,83.8,5.30958904109589,2.658400058746338
2018-08-27,21.86328125,22.98649035602816,40.0,98.68,22.57786828,81.06,21.0,17.655,83.85,5.30958904109589,2.543900012969971
2018-08-28,22.67691478173748,22.95435318657033,63.35403726708074,98.83,17.90551243,81.11,20.125,17.71,83.75,5.306849315068493,2.501800060272217
2018-08-29,23.01171875,22.92729497516144,74.07407407407408,98.2,14.04073249,80.93,20.58,18.02,83.8,5.304109589041095,2.542999982833862
2018-08-30,22.20093330495414,22.86174294543692,47.85276073619632,98.18,12.02151077,79.39,21.37,17.14,83.9,5.301369863013699,2.615200042724609
2018-08-31,22.67942121288924,22.81587390554392,63.41463414634146,97.952,12.39994981,78.77,23.28,17.16,84.0,5.298630136986302,2.608599901199341
2018-09-03,21.90840967462484,22.78711181026221,40.60606060606061,97.626,11.64530905,77.795,23.195,16.48,84.1,5.293150684931508,2.702950000762939
2018-09-04,21.48197189832976,22.76802129020654,31.92771084337349,97.72,13.8088746,78.71,21.87,17.3,83.9,5.293150684931507,2.686399936676025
2018-09-05,22.38649810988316,22.80521376824175,56.88622754491018,97.69,10.58970097,78.68,22.4,17.07,84.0,5.29041095890411,2.734999895095825
2018-09-06,22.39076363222249,22.82012239896915,57.73809523809523,97.538,10.04521212,77.9,24.65,17.21,84.0,5.287671232876712,2.730299949645996
2018-09-07,22.29139632303434,22.81837125371846,52.66272189349112,97.65,11.13659681,79.05,23.4,16.91,84.1,5.284931506849315,2.73580002784729
2018-09-10,22.96598870092203,22.82714086340748,71.76470588235294,97.0,11.66667909,77.85,25.47,16.01,83.9,5.276712328767124,2.894299983978271
2018-09-11,22.74064504952855,22.85102041636463,67.2514619883041,96.44,10.37093141,78.9,24.43,16.55,83.8,5.273972602739726,2.919899940490723
2018-09-12,22.34159747555736,22.86215004335484,54.06976744186046,96.43,10.46394816,79.23,23.29,16.21,83.9,5.271232876712329,2.936899900436401
2018-09-13,22.09596447726429,22.85417988102119,44.50867052023121,96.981,10.68817732,79.9,22.345,16.645,83.8,5.269863013698631,2.843050003051758
2018-09-14,22.00883843633055,22.84580323181915,41.95402298850575,97.1,17.78510168,79.12,22.89,16.67,83.8,5.268493150684932,2.899100065231323
2018-09-17,22.18671521958476,22.84382394747198,46.85714285714286,96.48,10.05081819,78.07,25.02,16.41,83.9,5.260273972602739,2.926500082015991
2018-09-18,21.86328125,22.80554269747198,37.5,96.441,10.22871792,78.61,23.22,16.63,84.0,5.257534246575343,2.876199960708618
2018-09-19,22.31728296311539,22.76714419531136,53.10734463276836,96.83,15.24671128,80.21,21.99,16.63,84.0,5.254794520547945,2.878499984741211
2018-09-20,22.24609375,22.72359349549775,51.68539325842697,96.78,8.58599736,79.58,21.62,16.65,83.9,5.252054794520548,2.714400053024292
2018-09-21,21.87350486697548,22.67532993028011,37.98882681564246,97.389,17.12193746,81.37,20.08,17.55,84.0,5.249315068493151,2.712599992752075
2018-09-25,21.96339377001703,22.65326844324123,40.55555555555556,97.378,10.07644513,81.06,20.61,17.39,84.0,5.238356164383561,2.684000015258789
2018-09-26,21.70879233626929,22.63535839611687,33.14917127071823,97.41,16.80189781,81.52,20.08,17.44,84.1,5.235616438356164,2.747400045394897
2018-09-27,21.95466674663504,22.60012332933804,40.65934065934066,96.97,11.18451524,79.45,21.74,16.75,84.2,5.232876712328768,2.844500064849854
2018-09-28,21.25632917836837,22.52434888031666,21.31147540983606,97.09,12.18188567,80.46,20.78,16.59,84.3,5.23013698630137,2.775300025939941
2018-10-08,21.09765625,22.43083764720212,20.10869565217391,96.11,8.25297943,78.18,24.14,15.49,84.4,5.202739726027398,2.99210000038147
2018-10-09,21.38619789476208,22.36365918449706,25.40540540540541,96.4015,11.4071707,78.19999999999999,24.61,15.26,84.55,5.201369863013699,2.934450030326843
2018-10-10,20.89211462480961,22.27996898026682,16.66666666666667,96.0295,8.09054824,78.62,23.575,14.94,84.7,5.198630136986301,2.942049980163574
2018-10-11,22.46035361695733,22.21712967325857,61.49732620320856,94.297,15.69326995,73.22999999999999,31.63,12.31,84.9,5.195890410958904,3.301949977874756
2018-10-12,22.83815275317,22.18216527447176,72.87234042553192,94.42,10.59732055,72.19,29.37,12.37,85.0,5.193150684931506,3.28030002117157
